1	tatanggapin	tanggap	VB	COOF	_|in|_|ta	0	_
5	basta-bastang	basta-basta	JJ	JCJD	_|_|ng|_	6	_
6	tao	tao	NN	CP	_|_|_|_	0	_
7	ang	ang	DT	CD	_|_|_|_	9	_
8	mga	mga	DT	CDPL	_|_|_|_	9	_
9	binibisita	bisita	VB	IMOF	_|in|_|bi	6	_
10	ng	ng	CC	CCB	_|_|_|_	11	_
11	asawa	asawa	NN	CP	_|_|_|_	9	_
12	ko	ko	PR	PRSG	_|_|_|_	9	_
13	para	para	CC	CCT	_|_|_|_	9	_
14	gamutin	gamutin	VB	INOF	_|_|_|_	13	_
15	sa	sa	CC	CCT	_|_|_|_	16	_
16	madrid	madrid	NN	NNP	_|_|_|_	14	_
17	.	.	PM	PMP	_|_|_|_	16	_

1	kailangang	kailangan	VB	AS	_|_|g|_	0	_
2	isang	isa	PR	PRI	_|_|ng|_	4	_
3	alta	alta	NN	CP	_|_|_|_	4	_
4	sosyedad	sosyedad	NN	CP	_|_|_|_	1	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	pasyenteng	pasyente	NN	CP	_|_|ng|_	1	_
7	makakaharap	harap	VB	COOF	maka|_|_|ka	6	_
8	ng	ng	CC	CCB	_|_|_|_	11	_
9	eksperto	eksperto	NN	CP	_|_|_|_	11	_
10	kong	kong	PR	PRSG	_|_|_|_	9	_
11	asawa	asawa	NN	CP	_|_|_|_	7	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	sinamahan	sama	VB	PFOF	_|in|han|_	0	_
2	sila	sila	PR	PRPL	_|_|_|_	1	_
3	ni	ni	DT	PDSG	_|_|_|_	5	_
4	kapitan	kapitan	NN	NNP	_|_|_|_	5	_
5	tiyago	tiyago	NN	NNP	_|_|_|_	1	_
6	sa	sa	CC	CCT	_|_|_|_	7	_
7	silid	silid	NN	CP	_|_|_|_	1	_
8	ni	ni	DT	PDSG	_|_|_|_	7	_
9	maria	maria	NN	NNP	_|_|_|_	10	_
10	clara	clara	NN	NNP	_|_|_|_	8	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	nasa	nasa	RB	RL	_|_|_|_	2	_
2	tabi	tabi	RB	RL	_|_|_|_	0	_
3	ni	ni	DT	PDSG	_|_|_|_	2	_
4	maria	maria	NN	NNP	_|_|_|_	5	_
5	clara	clara	NN	NNP	_|_|_|_	3	_
6	sina	sina	DT	PDPL	_|_|_|_	7	_
7	sinang	sinang	NN	NNP	_|_|_|_	2	_
8	,	,	PM	PMC	_|_|_|_	9	_
9	victoria	victoria	NN	NNP	_|_|_|_	7	_
10	at	at	CC	CCA	_|_|_|_	9	_
11	andeng	andeng	NN	NNP	_|_|_|_	10	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	pinulsuhan	pulsu	VB	PFOF	_|in|han|_	0	_
2	muna	muna	RB	RI	_|_|_|_	1	_
3	ni	ni	DT	PDSG	_|_|_|_	4	_
4	doktor	doktor	NN	NNP	_|_|_|_	1	_
5	de	de	NN	NNP	_|_|_|_	4	_
6	espada�a	espada�a	NN	NNP	_|_|_|_	5	_
7	si	si	DT	PDSG	_|_|_|_	8	_
8	maria	maria	NN	NNP	_|_|_|_	1	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	akala	akala	VB	INAF	_|_|_|_	0	_
2	mo'y	mo'y	PR	PRSG	_|_|_|_	1	_
3	isa	isa	PR	PRI	_|_|_|_	4	_
4	siyang	siya	PR	PRSG	_|_|ng|_	7	_
5	tunay	tunay	RB	RT	_|_|_|_	7	_
6	na	na	CC	CCP	_|_|_|_	5	_
7	manggagamot	gamot	NN	CP	mang|_|_|ga	1	_
8	na	na	CC	CCP	_|_|_|_	7	_
9	nagtanong	tanong	VB	PFAF	nag|_|_|_	8	_
10	sa	sa	CC	CCT	_|_|_|_	11	_
11	maysakit	maysakit	NN	CP	_|_|_|_	9	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	ngumiti	ngiti	VB	INAF	_|um|_|_	0	_
2	lamang	lamang	RB	RI	_|_|_|_	1	_
3	si	si	DT	PDSG	_|_|_|_	5	_
4	donya	donya	NN	NNP	_|_|_|_	5	_
5	victorina	victorina	NN	NNP	_|_|_|_	1	_
6	habang	habang	RB	RW	_|_|_|_	1	_
7	nakamasid	masid	JJ	JCJD	naka|_|_|_	6	_
8	ang	ang	DT	CD	_|_|_|_	9	_
9	lahat	lahat	PR	PRI	_|_|_|_	7	_
10	sa	sa	CC	CCT	_|_|_|_	11	_
11	panggagamot	gamot	NN	CP	pang|_|_|ga	7	_
12	ng	ng	CC	CCB	_|_|_|_	15	_
13	nagpapanggap	panggap	VB	PFAF	nag|_|_|pa	15	_
14	na	na	CC	CCP	_|_|_|_	13	_
15	doktor	doktor	NN	CP	_|_|_|_	7	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	samantala	samantala	CC	CCT	_|_|_|_	3	_
2	,	,	PM	PMC	_|_|_|_	3	_
3	humahanga	hanga	VB	IMAF	_|um|_|ha	0	_
4	naman	naman	RB	RI	_|_|_|_	3	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	donya	donya	NN	CP	_|_|_|_	3	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	lakas	lakas	NN	CP	_|_|_|_	3	_
9	ng	ng	CC	CCB	_|_|_|_	8	_
10	loob	loob	NN	CP	_|_|_|_	9	_
11	ng	ng	CC	CCB	_|_|_|_	8	_
12	asawa	asawa	NN	CP	_|_|_|_	11	_
13	sa	sa	CC	CCT	_|_|_|_	14	_
14	panggagamot	gamot	NN	CP	pang|_|_|ga	3	_
15	.	.	PM	PMP	_|_|_|_	14	_

1	ipinakilala	kilala	VB	PFOF	ipa|in|_|la	0	_
2	niya	niya	PR	PRSG	_|_|_|_	1	_
3	agad	agad	RB	RW	_|_|_|_	1	_
4	si	si	DT	PDSG	_|_|_|_	5	_
5	linares	linares	NN	NNP	_|_|_|_	1	_
6	kay	kay	DT	PDSG	_|_|_|_	8	_
7	maria	maria	NN	NNP	_|_|_|_	8	_
8	clara	clara	NN	NNP	_|_|_|_	1	_
9	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
10	tila	tila	RB	RM	_|_|_|_	11	_
11	walang	wala	RB	RF	_|_|ng|_	12	_
12	napansin	pansin	VB	PFAF	na|_|_|_	1	_
13	ang	ang	DT	CD	_|_|_|_	14	_
14	dalaga	dalaga	NN	CP	_|_|_|_	12	_
15	.	.	PM	PMP	_|_|_|_	14	_

1	inaasahan	asa	VB	IMOF	in|_|han|a	0	_
2	ng	ng	CC	CCB	_|_|_|_	3	_
3	dalaga	dalaga	NN	CP	_|_|_|_	1	_
4	ang	ang	DT	CD	_|_|_|_	6	_
5	isang	isa	PR	PRI	_|_|ng|_	6	_
6	panauhin	panauhin	NN	CP	_|_|_|_	1	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	napansin	pansin	VB	PFAF	na|_|_|_	0	_
2	ni	ni	DT	PDSG	_|_|_|_	4	_
3	padre	padre	NN	NNP	_|_|_|_	4	_
4	salvi	salvi	NN	NNP	_|_|_|_	1	_
5	na	na	CC	CCP	_|_|_|_	1	_
6	hangang-hanga	hangang-hanga	JJ	JCJD	_|_|_|_	5	_
7	si	si	DT	PDSG	_|_|_|_	8	_
8	linares	linares	NN	NNP	_|_|_|_	6	_
9	sa	sa	CC	CCT	_|_|_|_	10	_
10	ganda	ganda	NN	CP	_|_|_|_	6	_
11	ni	ni	DT	PDSG	_|_|_|_	10	_
12	maria	maria	NN	NNP	_|_|_|_	13	_
13	clara	clara	NN	NNP	_|_|_|_	11	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	si	si	DT	PDSG	_|_|_|_	2	_
2	padre	padre	NN	NNP	_|_|_|_	3	_
3	damaso	damaso	NN	NNP	_|_|_|_	0	_
4	nga	nga	RB	RI	_|_|_|_	3	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	dumating	dating	VB	INAF	_|um|_|_	3	_
7	ngunit	ngunit	CC	CCT	_|_|_|_	6	_
8	nagtataka	taka	VB	IMAF	nag|_|_|ta	7	_
9	ang	ang	DT	CD	_|_|_|_	10	_
10	lahat	lahat	PR	PRI	_|_|_|_	8	_
11	nang	nang	RB	RW	_|_|_|_	8	_
12	mapansing	pansin	VB	INAF	ma|_|g|_	11	_
13	maputla	putla	JJ	JCJD	ma|_|_|_	17	_
14	at	at	CC	CCA	_|_|_|_	13	_
15	malungkot	lungkot	JJ	JCJD	ma|_|_|_	14	_
16	ang	ang	DT	CD	_|_|_|_	17	_
17	pari	pari	NN	CP	_|_|_|_	12	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	ang	ang	DT	CD	_|_|_|_	2	_
2	dalaga	dalaga	NN	CP	_|_|_|_	3	_
3	ay	ay	LM	LM	_|_|_|_	0	_
4	nagising	gising	VB	PFAF	na|_|_|_	3	_
5	sa	sa	CC	CCT	_|_|_|_	6	_
6	pagkakahimbing	himbing	NN	CP	pagka|_|_|ka	4	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	hindi	hindi	RB	RF	_|_|_|_	3	_
2	niya	niya	PR	PRSG	_|_|_|_	4	_
3	akalaing	akala	NN	CP	_|_|ing|_	4	_
4	makita	kita	VB	INOF	ma|_|_|_	0	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	paring	pari	NN	CP	_|_|ng|_	4	_
7	lumuluha	luha	VB	IMAF	_|um|_|lu	6	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	sa	sa	CC	CCT	_|_|_|_	4	_
2	labis	labis	JJ	JCCS	_|_|_|_	4	_
3	na	na	CC	CCP	_|_|_|_	2	_
4	pagdadalamhati	dalamhati	NN	CP	pag|_|_|da	5	_
5	ay	ay	LM	LM	_|_|_|_	0	_
6	nanangis	nanangis	VB	PFAF	_|_|_|_	5	_
7	ito	ito	PR	DM	_|_|_|_	6	_
8	sa	sa	CC	CCT	_|_|_|_	10	_
9	may	may	VB	VH	_|_|_|_	10	_
10	balkonahe	balkonahe	NN	CP	_|_|_|_	6	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	sa	sa	CC	CCT	_|_|_|_	2	_
2	pag-aakalang	akalang	NN	CP	pag|_|_|a	4	_
3	may	may	VB	VH	_|_|_|_	4	_
4	makakita	kita	VB	INAF	maka|_|_|_	10	_
5	sa	sa	CC	CCT	_|_|_|_	6	_
6	kanya	kanya	PR	POSG	_|_|_|_	4	_
7	,	,	PM	PMC	_|_|_|_	8	_
8	mabilis	bilis	RB	RD	ma|_|_|_	10	_
9	na	na	RB	RD	_|_|_|_	8	_
10	bumaba	ba	RB	RD	_|um|_|ba	0	_
11	si	si	DT	PDSG	_|_|_|_	13	_
12	padre	padre	NN	NNP	_|_|_|_	13	_
13	damaso	damaso	NN	NNP	_|_|_|_	10	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	nakasalubong	salubong	JJ	JCJD	naka|_|_|_	0	_
2	niya	niya	PR	PRSG	_|_|_|_	1	_
3	si	si	DT	PDSG	_|_|_|_	5	_
4	donya	donya	NN	NNP	_|_|_|_	5	_
5	victorina	victorina	NN	NNP	_|_|_|_	1	_
6	at	at	CC	CCA	_|_|_|_	1	_
7	ipinakilala	kilala	VB	PFOF	ipa|in|_|la	6	_
8	niya	niya	PR	PRSG	_|_|_|_	7	_
9	si	si	DT	PDSG	_|_|_|_	10	_
10	linares	linares	NN	NNP	_|_|_|_	7	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	ang	ang	DT	CD	_|_|_|_	2	_
2	binata	binata	NN	CP	_|_|_|_	3	_
3	ay	ay	LM	LM	_|_|_|_	0	_
4	sinipat-sipat	sipat-sipat	VB	PFOF	_|in|_|_	3	_
5	ng	ng	CC	CCB	_|_|_|_	7	_
6	matabang	taba	JJ	JCJD	ma|_|ng|_	7	_
7	pari	pari	NN	CP	_|_|_|_	4	_
8	mula	mula	RB	RL	_|_|_|_	4	_
9	ulo	ulo	NN	CP	_|_|_|_	8	_
10	hanggang	hanggang	RB	RL	_|_|_|_	9	_
11	paa	paa	NN	CP	_|_|_|_	10	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	nagkita	kita	VB	PFAF	nag|_|_|_	0	_
2	na	na	RB	RI	_|_|_|_	1	_
3	ba	ba	RB	RI	_|_|_|_	2	_
4	tayo	tayo	PR	PRPL	_|_|_|_	1	_
5	?	?	PM	PMQ	_|_|_|_	4	_

1	inaanak	inaanak	NN	CP	_|_|_|_	3	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ako	ako	PR	PRSG	_|_|_|_	0	_
4	ng	ng	CC	CCB	_|_|_|_	1	_
5	inyong	inyo	PR	POPL	_|_|ng|_	6	_
6	bayaw	bayaw	NN	CP	_|_|_|_	4	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	a	a	RB	RBJ	_|_|_|_	3	_
2	,	,	PM	PMC	_|_|_|_	3	_
3	inaanak	inaanak	NN	CP	_|_|_|_	0	_
4	ni	ni	DT	PDSG	_|_|_|_	3	_
5	carlicos	carlicos	NN	NNP	_|_|_|_	4	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	napakalaki	laki	JJ	JCCS	napaka|_|_|_	0	_
2	mo	mo	PR	PRSG	_|_|_|_	1	_
3	na	na	CC	CCP	_|_|_|_	1	_
4	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
5	hindi	hindi	RB	RF	_|_|_|_	7	_
6	ka	ka	PR	PRSG	_|_|_|_	7	_
7	kasingkatawan	katawan	JJ	JCCM	kasing|_|_|_	4	_
8	ng	ng	CC	CCB	_|_|_|_	7	_
9	mga	mga	DT	CDPL	_|_|_|_	11	_
10	matitipunong	tipuno	JJ	JCJD	ma|_|ng|ti	11	_
11	kababayan	bayan	NN	CP	ka|_|_|ba	8	_
12	natin	natin	PR	PRPL	_|_|_|_	11	_
13	.	.	PM	PMP	_|_|_|_	12	_

1	hindi	hindi	RB	RF	_|_|_|_	5	_
2	ka	ka	PR	PRSG	_|_|_|_	5	_
3	pa	pa	RB	RI	_|_|_|_	1	_
4	marahil	marahil	RB	RM	_|_|_|_	5	_
5	ipinanganganak	anak	VB	PFOF	ipinang|_|_|nga	6	_
6	ay	ay	LM	LM	_|_|_|_	0	_
7	umalis	alis	VB	INAF	um|_|_|_	6	_
8	na	na	CC	CCP	_|_|_|_	7	_
9	ako	ako	PR	PRSG	_|_|_|_	7	_
10	sa	sa	CC	CCT	_|_|_|_	11	_
11	espanya	espanya	NN	NNP	_|_|_|_	7	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	buong	buo	RB	RD	_|_|ng|_	2	_
2	galak	galak	RB	RD	_|_|_|_	4	_
3	na	na	RB	RD	_|_|_|_	2	_
4	niyakap	niyakap	VB	INOF	_|_|_|_	0	_
5	ni	ni	DT	PDSG	_|_|_|_	7	_
6	padre	padre	NN	NNP	_|_|_|_	7	_
7	damaso	damaso	NN	NNP	_|_|_|_	4	_
8	si	si	DT	PDSG	_|_|_|_	9	_
9	linares	linares	NN	NNP	_|_|_|_	4	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	ano	ano	PR	QISG	_|_|_|_	4	_
2	ba	ba	RB	RI	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	4	_
4	nais	nais	VB	AS	_|_|_|_	0	_
5	ipasabi	sabi	VB	INOF	ipa|_|_|_	4	_
6	sa	sa	CC	CCT	_|_|_|_	7	_
7	sulat	sulat	NN	CP	_|_|_|_	5	_
8	?	?	PM	PMQ	_|_|_|_	7	_

1	hmmm	hmmm	RB	RBJ	_|_|_|_	3	_
2	...	...	..		_|_|_|_	3	_
3	isinasaad	saad	VB	IMOF	i|in|_|sa	0	_
4	dito	dito	PR	LO	_|_|_|_	3	_
5	na	na	CC	CCP	_|_|_|_	3	_
6	gusto	gusto	VB	AS	_|_|_|_	3	_
7	ng	ng	CC	CCB	_|_|_|_	6	_
8	ninong	ninong	NN	CP	_|_|_|_	7	_
9	mong	mong	PR	PRSG	_|_|_|_	8	_
10	ihanap	hanap	VB	INOF	i|_|_|_	6	_
11	kita	kita	PR	PRSG	_|_|_|_	10	_
12	ng	ng	CC	CCB	_|_|_|_	13	_
13	trabaho	trabaho	NN	CP	_|_|_|_	10	_
14	...	...	..		_|_|_|_	15	_
15	at	at	CC	CCA	_|_|_|_	10	_
16	...	...	..		_|_|_|_	17	_
17	asawa	asawa	NN	CP	_|_|_|_	15	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	madali	dali	JJ	JCJD	ma|_|_|_	4	_
2	lang	lang	RB	RI	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	4	_
4	trabaho	trabaho	NN	CP	_|_|_|_	0	_
5	.	.	PM	PMP	_|_|_|_	4	_

1	marunong	marunong	JJ	JCJD	_|_|_|_	4	_
2	ka	ka	PR	PRSG	_|_|_|_	1	_
3	bang	bang	RB	RI	_|_|_|_	2	_
4	bumasa	basa	VB	INAF	_|um|_|_	0	_
5	at	at	CC	CCA	_|_|_|_	4	_
6	sumulat	sulat	VB	INAF	_|um|_|_	5	_
7	?	?	PM	PMQ	_|_|_|_	6	_

1	nakatapos	tapos	JJ	JCJD	naka|_|_|_	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ako	ako	PR	PRSG	_|_|_|_	1	_
4	ng	ng	CC	CCB	_|_|_|_	5	_
5	abogasya	abogasya	NN	CP	_|_|_|_	1	_
6	sa	sa	CC	CCT	_|_|_|_	7	_
7	unibersidad	unibersidad	NN	NNP	_|_|_|_	1	_
8	central	central	NN	NNP	_|_|_|_	7	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	bakit	bakit	PR	QISG	_|_|_|_	2	_
2	hindi	hindi	RB	RF	_|_|_|_	4	_
3	ka	ka	PR	PRSG	_|_|_|_	4	_
4	mukhang	mukha	JJ	JCJD	_|_|ng|_	5	_
5	abogado	abogado	NN	CP	_|_|_|_	0	_
6	?	?	PM	PMQ	_|_|_|_	5	_

1	asawa	asawa	NN	CP	_|_|_|_	3	_
2	...	...	..		_|_|_|_	3	_
3	ihanap	hanap	VB	INOF	i|_|_|_	0	_
4	daw	daw	RB	RI	_|_|_|_	3	_
5	kita	kita	PR	PRSG	_|_|_|_	3	_
6	ng	ng	CC	CCB	_|_|_|_	7	_
7	asawa	asawa	NN	CP	_|_|_|_	3	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	hindi	hindi	RB	RF	_|_|_|_	5	_
2	naman	naman	RB	RI	_|_|_|_	1	_
3	po	po	RB	RBS	_|_|_|_	2	_
4	ako	ako	PR	PRSG	_|_|_|_	5	_
5	nagmamadali	madali	VB	IMAF	nag|_|_|ma	0	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	lumakad-lakad	lumakad-lakad	JJ	JCJD	_|_|_|_	0	_
2	si	si	DT	PDSG	_|_|_|_	4	_
3	padre	padre	NN	NNP	_|_|_|_	4	_
4	damaso	damaso	NN	NNP	_|_|_|_	1	_
5	sa	sa	CC	CCT	_|_|_|_	6	_
6	bulwagan	bulwagan	NN	CP	_|_|_|_	1	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	nakakunot-noo	nakakunot-noo	RB	RD	_|_|_|_	3	_
2	itong	ito	PR	DM	_|_|ng|_	3	_
3	nag-iisip	isip	RB	RD	nag|_|_|i	0	_
4	kung	kung	RB	RK	_|_|_|_	3	_
5	sino	sino	RB	RQ	_|_|_|_	7	_
6	ang	ang	DT	CD	_|_|_|_	7	_
7	mairereto	reto	VB	COOF	mai|_|_|re	4	_
8	kay	kay	DT	PDSG	_|_|_|_	9	_
9	linares	linares	NN	NNP	_|_|_|_	7	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	linares	linares	NN	NNP	_|_|_|_	3	_
2	,	,	PM	PMC	_|_|_|_	3	_
3	halika't	halika't	VB	INAF	_|_|_|_	0	_
4	kausapin	usap	VB	INOF	ka|in|_|_	3	_
5	natin	natin	PR	PRPL	_|_|_|_	4	_
6	si	si	DT	PDSG	_|_|_|_	8	_
7	kapitan	kapitan	NN	NNP	_|_|_|_	8	_
8	tiyago	tiyago	NN	NNP	_|_|_|_	4	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	kinabahan	kaba	VB	PFOF	_|in|han|_	0	_
2	si	si	DT	PDSG	_|_|_|_	4	_
3	padre	padre	NN	NNP	_|_|_|_	4	_
4	salvi	salvi	NN	NNP	_|_|_|_	1	_
5	nang	nang	RB	RW	_|_|_|_	1	_
6	marinig	rinig	VB	INOF	ma|_|_|_	5	_
7	ang	ang	DT	CD	_|_|_|_	8	_
8	pangalan	pangalan	NN	CP	_|_|_|_	6	_
9	ni	ni	DT	PDSG	_|_|_|_	11	_
10	kapitan	kapitan	NN	NNP	_|_|_|_	11	_
11	tiyago	tiyago	NN	NNP	_|_|_|_	6	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	kanina	kanina	RB	RW	_|_|_|_	3	_
2	pa	pa	RB	RI	_|_|_|_	3	_
3	nagmamasid	masid	VB	IMAF	nag|_|_|ma	0	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	payat	payat	JJ	JCJD	_|_|_|_	7	_
6	na	na	CC	CCP	_|_|_|_	5	_
7	pari	pari	NN	CP	_|_|_|_	3	_
8	at	at	CC	CCA	_|_|_|_	3	_
9	siya	siya	PR	PRSG	_|_|_|_	8	_
10	naman	naman	RB	RI	_|_|_|_	9	_
11	ang	ang	DT	CD	_|_|_|_	12	_
12	nag-iisip	isip	VB	IMAF	nag|_|_|i	9	_
13	kung	kung	RB	RK	_|_|_|_	12	_
14	kanino	kanino	RB	RQ	_|_|_|_	16	_
15	maaaring	ari	RB	RT	ma|_|ng|a	16	_
16	mapunta	punta	VB	INOF	ma|_|_|_	13	_
17	si	si	DT	PDSG	_|_|_|_	19	_
18	maria	maria	NN	NNP	_|_|_|_	19	_
19	clara	clara	NN	NNP	_|_|_|_	16	_
20	.	.	PM	PMP	_|_|_|_	19	_

1	hindi	hindi	RB	RF	_|_|_|_	3	_
2	niya	niya	PR	PRSG	_|_|_|_	3	_
3	napansing	pansin	VB	PFAF	na|_|g|_	0	_
4	pinagmamasdan	masdan	VB	IMOF	pinag|_|_|ma	3	_
5	siya	siya	PR	PRSG	_|_|_|_	4	_
6	ni	ni	DT	PDSG	_|_|_|_	7	_
7	lucas	lucas	NN	NNP	_|_|_|_	4	_
8	na	na	CC	CCP	_|_|_|_	9	_
9	nakapasok	pasok	JJ	JCJD	naka|_|_|_	7	_
10	ang	ang	DT	CD	_|_|_|_	11	_
11	ulo	ulo	NN	CP	_|_|_|_	9	_
12	sa	sa	CC	CCT	_|_|_|_	15	_
13	nakabukas	bukas	JJ	JCJD	naka|_|_|_	15	_
14	na	na	CC	CCP	_|_|_|_	13	_
15	pinto	pinto	NN	CP	_|_|_|_	11	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	nagulat	ulat	VB	PFAF	nag|_|_|_	0	_
2	na	na	CC	CCP	_|_|_|_	1	_
3	lamang	lamang	RB	RI	_|_|_|_	2	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	pari	pari	NN	CP	_|_|_|_	1	_
6	nang	nang	RB	RW	_|_|_|_	1	_
7	kalabitin	kalabit	VB	INOF	_|in|_|_	6	_
8	siya	siya	PR	PRSG	_|_|_|_	7	_
9	ni	ni	DT	PDSG	_|_|_|_	10	_
10	lucas	lucas	NN	NNP	_|_|_|_	7	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	pumunta	punta	VB	INAF	_|um|_|_	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ako	ako	PR	PRSG	_|_|_|_	1	_
4	sa	sa	CC	CCT	_|_|_|_	5	_
5	tahanan	tahanan	NN	CP	_|_|_|_	1	_
6	ni	ni	DT	PDSG	_|_|_|_	5	_
7	don	don	NN	NNP	_|_|_|_	8	_
8	crisostomo	crisostomo	NN	NNP	_|_|_|_	6	_
9	upang	upang	CC	CCB	_|_|_|_	1	_
10	humingi	hingi	VB	INAF	_|um|_|_	9	_
11	ng	ng	CC	CCB	_|_|_|_	2	_
12	kabayaran	kabayaran	NN	CP	_|_|_|_	10	_
13	.	.	PM	PMP	_|_|_|_	12	_

1	sinipa	sipa	VB	PFOF	_|in|_|_	0	_
2	niya	niya	PR	PRSG	_|_|_|_	1	_
3	ako	ako	PR	PRSG	_|_|_|_	1	_
4	at	at	CC	CCA	_|_|_|_	1	_
5	sinigawan	sigaw	VB	PFOF	_|in|an|_	4	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	siya	siya	PR	PRSG	_|_|_|_	3	_
2	raw	raw	RB	RI	_|_|_|_	1	_
3	ay	ay	LM	LM	_|_|_|_	0	_
4	kamuntik	muntik	RB	RD	ka|_|_|_	6	_
5	ng	ng	RB	RD	_|_|_|_	4	_
6	mamatay	mamatay	RB	RD	_|_|_|_	3	_
7	dahil	dahil	RB	RP	_|_|_|_	6	_
8	sa	sa	RB	RP	_|_|_|_	7	_
9	kagagawan	kagagawan	NN	CP	_|_|_|_	8	_
10	ng	ng	CC	CCB	_|_|_|_	11	_
11	kapatid	kapatid	NN	CP	_|_|_|_	9	_
12	ko	ko	PR	PRSG	_|_|_|_	11	_
13	.	.	PM	PMP	_|_|_|_	12	_

1	binalikan	balik	VB	PFOF	_|in|an|_	0	_
2	ko	ko	PR	PRSG	_|_|_|_	1	_
3	siya	siya	PR	PRSG	_|_|_|_	1	_
4	kahapon	kahapon	RB	RW	_|_|_|_	1	_
5	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
6	nakaalis	alis	JJ	JCJD	naka|_|_|_	5	_
7	na	na	CC	CCP	_|_|_|_	6	_
8	siya	siya	PR	PRSG	_|_|_|_	6	_
9	patungong	tungo	RB	RL	pa|_|ng|_	6	_
10	maynila	maynila	NN	NNP	_|_|_|_	9	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	nag-iwan	iwan	VB	PFAF	nag|_|_|_	0	_
2	lang	lang	RB	RI	_|_|_|_	1	_
3	po	po	RB	RBS	_|_|_|_	1	_
4	siya	siya	PR	PRSG	_|_|_|_	1	_
5	ng	ng	CC	CCB	_|_|_|_	7	_
6	limandaang	limandaang	JJ	JN	_|_|_|_	7	_
7	pisong	piso	NN	CP	_|_|ng|_	1	_
8	tulong	tulong	NN	CP	_|_|_|_	7	_
9	sa	sa	CC	CCT	_|_|_|_	10	_
10	amin	amin	PR	POPL	_|_|_|_	8	_
11	at	at	CC	CCA	_|_|_|_	1	_
12	ipinasabing	ipinasabing	VB	PFOF	_|_|_|_	11	_
13	huwag	huwag	RB	RF	_|_|_|_	17	_
14	na	na	RB	RI	_|_|_|_	13	_
15	raw	raw	RB	RI	_|_|_|_	14	_
16	akong	akong	PR	PRSG	_|_|_|_	17	_
17	babalik	balik	VB	COAF	_|_|_|ba	12	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	limandaang	limandaang	JJ	JN	_|_|_|_	2	_
2	piso	piso	NN	CP	_|_|_|_	0	_
3	lang	lang	RB	RI	_|_|_|_	2	_
4	sa	sa	CC	CCT	_|_|_|_	5	_
5	buhay	buhay	NN	CP	_|_|_|_	2	_
6	ng	ng	CC	CCB	_|_|_|_	5	_
7	aking	akin	PR	POSG	_|_|g|_	8	_
8	kapatid	kapatid	NN	CP	_|_|_|_	6	_
9	?	?	PM	PMQ	_|_|_|_	8	_

1	magpasalamat	salamat	VB	INAF	magpa|_|_|_	0	_
2	ka't	ka't	PR	PRSG	_|_|_|_	1	_
3	binigyan	binigyan	VB	PFOF	_|_|_|_	1	_
4	ka	ka	PR	PRSG	_|_|_|_	3	_
